Date       ,Time         ,     Lat ,       Lon  , Depth  , Mag ,Magt  ,Nst ,Gap  ,Clo , RMS , SRC   ,Event ID
,,,,,,,,,,,,
2019/01/01 ,06:33:03.59  ,35.87267,-121.41167,9.16,2.22,  Md  ,38,190,22,0.07,NCSN   ,73129046
2019/01/01 ,08:16:00.70  ,37.97066,-122.34917,4.96,2.28,  Md  ,92,18,4,0.16,NCSN   ,73129051
2019/01/01 ,13:58:08.02  ,37.307,-120.00317,15.86,2.1,  Md  ,11,141,26,0.15,NCSN   ,73129111
2019/01/01 ,22:59:54.86  ,40.887,-123.47767,22.66,3.26,  ML  ,85,30,22,0.18,NCSN   ,73129211
2019/01/01 ,23:36:16.51  ,38.807,-122.82317,1.14,2.07,  Md  ,45,40,1,0.06,NCSN   ,73129216
2019/01/01 ,23:46:04.07  ,36.81167,-121.536,4.83,2.45,  Md  ,61,24,3,0.08,NCSN   ,73129226
2019/01/02 ,00:41:36.10  ,36.36833,-121.499,8.06,2.8,  Md  ,59,132,5,0.08,NCSN   ,73129231
2019/01/02 ,06:17:38.25  ,37.40917,-118.529,9.44,2.21,  Md  ,33,60,7,0.05,NCSN   ,73129301
2019/01/02 ,13:13:12.62  ,35.9015,-118.25017,4.89,2.9,  Mh  ,26,268,160,0.3,NCSN   ,73129386
2019/01/02 ,17:56:43.98  ,38.8145,-122.8215,2.1,2.17,  Md  ,53,27,1,0.08,NCSN   ,73129441
2019/01/02 ,18:23:26.99  ,36.76233,-118.276,-0.88,2.07,  Md  ,7,155,40,0.03,NCSN   ,73129446
2019/01/02 ,20:06:28.60  ,35.84483,-120.392,6.5,2.82,  Md  ,76,74,1,0.06,NCSN   ,73129456
2019/01/02 ,21:22:51.44  ,39.791,-122.10167,28.67,2.13,  Md  ,19,49,31,0.14,NCSN   ,73129486
2019/01/03 ,03:05:53.31  ,40.304,-122.07733,4.79,2.28,  Md  ,40,58,11,0.22,NCSN   ,73129541
2019/01/03 ,14:40:45.51  ,35.3385,-118.571,5.6,2.51,  Md  ,9,159,16,0.08,NCSN   ,73129741
2019/01/04 ,05:39:24.13  ,39.74417,-124.038,0.65,2.16,  Md  ,20,209,31,0.09,NCSN   ,73129936
2019/01/04 ,23:06:24.69  ,40.13783,-123.84517,22.65,2.42,  Md  ,33,76,6,0.12,NCSN   ,73130186
2019/01/05 ,05:10:25.98  ,38.78417,-122.75816,3.46,2.2,  Md  ,60,39,2,0.07,NCSN   ,73130241
2019/01/05 ,07:55:57.43  ,36.0685,-118.01,-0.29,2.15,  Md  ,7,110,23,0.03,NCSN   ,73130256
2019/01/05 ,11:09:02.83  ,37.60633,-121.60583,1.99,2.13,  Md  ,59,68,10,0.1,NCSN   ,73130311
2019/01/05 ,19:34:46.25  ,36.00383,-118.66566,5.61,3.5,  ML  ,28,277,126,2.58,NCSN   ,73130411
2019/01/06 ,09:00:26.53  ,34.72583,-120.67033,-0.16,2.64,  Md  ,12,229,21,0.19,NCSN   ,73130561
2019/01/06 ,18:32:04.76  ,36.465,-121.04667,5.09,2.02,  Md  ,50,58,5,0.07,NCSN   ,73130656
2019/01/07 ,01:04:14.15  ,36.5875,-121.185,3.54,2.56,  Md  ,52,83,2,0.08,NCSN   ,73130691
2019/01/07 ,06:49:16.61  ,38.06183,-118.87133,6.63,2.26,  Md  ,26,101,8,0.05,NCSN   ,73130726
2019/01/07 ,07:15:29.70  ,38.06384,-118.87883,5.79,2.7,  Md  ,30,101,9,0.05,NCSN   ,73130731
2019/01/07 ,07:17:59.89  ,38.0695,-118.88367,6.17,2.11,  Md  ,22,102,10,0.05,NCSN   ,73130736
2019/01/07 ,08:59:08.13  ,38.74933,-122.711,1.74,2.42,  Md  ,31,95,1,0.05,NCSN   ,73139725
2019/01/07 ,12:17:28.75  ,35.75517,-118.5015,9.77,2.54,  Md  ,6,85,5,0.02,NCSN   ,73130781
2019/01/07 ,14:06:35.32  ,40.35283,-124.70184,23.68,2.62,  Md  ,30,263,34,0.13,NCSN   ,73130786
2019/01/07 ,15:35:25.23  ,38.7955,-122.74233,1.26,2.19,  Md  ,38,61,4,0.08,NCSN   ,73130881
2019/01/07 ,16:30:43.62  ,37.43083,-118.56216,12.04,2.02,  Md  ,24,113,9,0.05,NCSN   ,73130901
2019/01/07 ,17:06:30.75  ,38.807,-122.82,2.51,2.12,  Md  ,33,91,1,0.05,NCSN   ,73139740
2019/01/08 ,06:25:18.76  ,39.3145,-123.07034,4.58,2.17,  Md  ,28,68,23,0.16,NCSN   ,73130951
2019/01/08 ,07:37:51.97  ,38.06067,-118.876,6.36,2.15,  Md  ,28,100,9,0.05,NCSN   ,73130956
2019/01/08 ,08:39:36.94  ,37.70733,-122.038,4.51,2.02,  Md  ,68,29,4,0.1,NCSN   ,73130971
2019/01/08 ,23:27:07.85  ,39.32933,-123.23683,-0.78,2.01,  Md  ,20,121,15,0.11,NCSN   ,73131121
2019/01/09 ,00:02:29.66  ,35.82567,-118.4605,9.94,2.2,  Md  ,8,96,13,0.04,NCSN   ,73131136
2019/01/09 ,11:22:42.88  ,38.81783,-122.75916,2.56,2.08,  Md  ,40,47,2,0.08,NCSN   ,73131261
2019/01/09 ,17:53:43.53  ,35.40233,-117.81717,11.79,2.39,  Md  ,8,164,49,0.03,NCSN   ,73131336
2019/01/10 ,00:05:58.55  ,40.28267,-124.504,19.25,2.95,  ML  ,33,251,20,0.13,NCSN   ,73131416
2019/01/10 ,04:31:14.79  ,36.40783,-120.98434,5.15,2.1,  Md  ,41,149,4,0.08,NCSN   ,73131491
2019/01/10 ,05:43:06.06  ,37.42617,-118.56433,13.84,2.64,  Md  ,30,102,16,0.06,NCSN   ,73131501
2019/01/10 ,11:52:09.46  ,38.8365,-122.83617,1.57,2.28,  Md  ,45,64,0,0.05,NCSN   ,73131566
2019/01/11 ,00:47:11.88  ,36.01133,-120.57633,4.09,2.86,  Md  ,69,108,4,0.08,NCSN   ,73131821
2019/01/11 ,00:47:27.17  ,36.0115,-120.57633,2.21,2.48,  Md  ,24,108,4,0.06,NCSN   ,73131816
2019/01/11 ,13:04:07.51  ,34.847,-120.39283,-0.17,2.54,  Md  ,16,119,9,0.36,NCSN   ,73131956
2019/01/11 ,17:43:08.57  ,35.09417,-118.9925,18.87,2.83,  ML  ,16,97,15,0.1,NCSN   ,73132006
2019/01/12 ,00:31:00.76  ,38.759,-122.7325,1.9,2.07,  Md  ,36,56,1,0.08,NCSN   ,73132096
2019/01/12 ,04:14:42.60  ,37.47433,-118.81866,3.09,3.3,  Md  ,31,106,12,0.04,NCSN   ,73132126
2019/01/12 ,06:50:16.30  ,38.8215,-122.766,2.07,2.08,  Md  ,51,45,1,0.05,NCSN   ,73132141
2019/01/12 ,10:47:36.66  ,38.81367,-122.83167,1.66,2.17,  Md  ,39,33,1,0.04,NCSN   ,73132206
2019/01/12 ,21:17:35.33  ,39.33083,-123.05466,3.09,2.08,  Md  ,13,176,25,0.07,NCSN   ,73132301
2019/01/13 ,09:35:49.87  ,40.38367,-125.00933,16.09,4.25,  Mw  ,86,234,58,0.28,NCSN   ,73132506
2019/01/13 ,10:58:46.23  ,40.27317,-124.377,19.67,2.35,  Md  ,20,240,10,0.1,NCSN   ,73132541
2019/01/13 ,16:42:47.86  ,38.8495,-123.33417,5.15,2.09,  Md  ,26,133,18,0.08,NCSN   ,73132636
2019/01/14 ,02:03:49.03  ,34.55733,-120.0275,10.45,2.57,  Md  ,7,232,7,0.16,NCSN   ,73132711
2019/01/14 ,18:51:43.73  ,40.36383,-123.95966,27.82,2.52,  Md  ,31,51,9,0.11,NCSN   ,73132971
2019/01/15 ,08:06:39.32  ,34.5475,-120.00784,16.97,2.4,  Md  ,5,260,9,0,NCSN   ,73133146
2019/01/15 ,16:57:31.40  ,40.275,-124.48817,18.21,2.64,  Md  ,28,252,19,0.12,NCSN   ,73133211
2019/01/15 ,20:20:20.12  ,40.32167,-124.47234,7.09,4.08,  Mw  ,33,240,16,0.14,NCSN   ,73133256
2019/01/15 ,20:21:36.64  ,40.322,-124.43383,1.85,3.81,  ML  ,31,252,13,0.15,NCSN   ,73133251
2019/01/15 ,20:48:01.58  ,36.46517,-121.04417,5.83,2.32,  Md  ,37,135,5,0.07,NCSN   ,73133261
2019/01/15 ,22:04:55.28  ,40.34033,-123.4685,24.73,2,  Md  ,20,60,18,0.07,NCSN   ,73133291
2019/01/16 ,01:16:54.07  ,40.2805,-124.45583,19.03,2.33,  Md  ,21,258,16,0.1,NCSN   ,73133326
2019/01/16 ,02:16:23.39  ,40.33017,-124.44833,5.81,2.2,  Md  ,17,252,14,0.1,NCSN   ,73133341
2019/01/16 ,06:34:35.05  ,37.6395,-118.81416,2.51,2.26,  Md  ,29,54,2,0.05,NCSN   ,73133366
